Linux 3.10.0-693.47.2.el7.x86_64 (skudupud.pnq.csb) 	08/30/2019 	_x86_64_	(4 CPU)

02:32:58 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
02:32:58 PM     0         1    0.00    0.01    0.00    0.01     1  systemd
02:32:58 PM     0         2    0.00    0.00    0.00    0.00     0  kthreadd
02:32:58 PM     0         3    0.00    0.00    0.00    0.00     0  ksoftirqd/0
02:32:58 PM     0         7    0.00    0.00    0.00    0.00     0  migration/0
02:32:58 PM     0         9    0.00    0.04    0.00    0.04     2  rcu_sched
02:32:58 PM     0        10    0.00    0.00    0.00    0.00     0  watchdog/0
02:32:58 PM     0        11    0.00    0.00    0.00    0.00     1  watchdog/1
02:32:58 PM     0        12    0.00    0.00    0.00    0.00     1  migration/1
02:32:58 PM     0        13    0.00    0.00    0.00    0.00     1  ksoftirqd/1
02:32:58 PM     0        16    0.00    0.00    0.00    0.00     2  watchdog/2
02:32:58 PM     0        17    0.00    0.00    0.00    0.00     2  migration/2
02:32:58 PM     0        18    0.00    0.00    0.00    0.00     2  ksoftirqd/2
02:32:58 PM     0        21    0.00    0.00    0.00    0.00     3  watchdog/3
02:32:58 PM     0        22    0.00    0.00    0.00    0.00     3  migration/3
02:32:58 PM     0        23    0.00    0.00    0.00    0.00     3  ksoftirqd/3
02:32:58 PM     0        27    0.00    0.00    0.00    0.00     3  kdevtmpfs
02:32:58 PM     0        29    0.00    0.00    0.00    0.00     1  khungtaskd
02:32:58 PM     0        41    0.00    0.00    0.00    0.00     2  kswapd0
02:32:58 PM     0        43    0.00    0.00    0.00    0.00     1  khugepaged
02:32:58 PM     0       114    0.00    0.00    0.00    0.00     2  kauditd
02:32:58 PM     0       356    0.00    0.00    0.00    0.00     3  i915/signal:0
02:32:58 PM     0       420    0.00    0.00    0.00    0.00     3  kworker/3:1H
02:32:58 PM     0       421    0.00    0.00    0.00    0.00     1  kworker/1:1H
02:32:58 PM     0       434    0.00    0.00    0.00    0.00     0  kworker/0:1H
02:32:58 PM     0       519    0.00    0.00    0.00    0.00     2  kworker/2:1H
02:32:58 PM     0       601    0.00    0.00    0.00    0.00     2  dmcrypt_write
02:32:58 PM     0       692    0.00    0.00    0.00    0.00     3  jbd2/dm-1-8
02:32:58 PM     0       766    0.00    0.00    0.00    0.00     2  systemd-journal
02:32:58 PM     0       786    0.00    0.00    0.00    0.00     0  lvmetad
02:32:58 PM     0       798    0.00    0.00    0.00    0.00     2  systemd-udevd
02:32:58 PM     0       984    0.00    0.02    0.00    0.02     0  irq/130-iwlwifi
02:32:58 PM 113248      1060    0.01    0.00    0.00    0.01     1  chrome
02:32:58 PM     0      1133    0.00    0.00    0.00    0.00     1  jbd2/dm-2-8
02:32:58 PM     0      1160    0.00    0.00    0.00    0.01     1  auditd
02:32:58 PM     0      1162    0.00    0.00    0.00    0.00     1  audispd
02:32:58 PM     0      1164    0.00    0.00    0.00    0.00     1  sedispatch
02:32:58 PM   999      1186    0.00    0.00    0.00    0.01     1  polkitd
02:32:58 PM   172      1189    0.00    0.00    0.00    0.00     3  rtkit-daemon
02:32:58 PM     0      1190    0.00    0.00    0.00    0.00     2  bluetoothd
02:32:58 PM    81      1192    0.06    0.01    0.00    0.06     2  dbus-daemon
02:32:58 PM 113248      1204    0.06    0.01    0.00    0.07     0  chrome
02:32:58 PM     0      1229    0.05    0.01    0.00    0.06     2  NetworkManager
02:32:58 PM     0      1234    0.00    0.00    0.00    0.00     2  rngd
02:32:58 PM     0      1235    0.00    0.00    0.00    0.00     1  rsyslogd
02:32:58 PM     0      1236    0.00    0.00    0.00    0.00     1  alsactl
02:32:58 PM    70      1240    0.00    0.00    0.00    0.00     1  avahi-daemon
02:32:58 PM     0      1245    0.00    0.00    0.00    0.00     1  irqbalance
02:32:58 PM     0      1246    0.00    0.00    0.00    0.00     2  ModemManager
02:32:58 PM     0      1247    0.00    0.00    0.00    0.00     1  sssd
02:32:58 PM   990      1262    0.00    0.00    0.00    0.00     0  chronyd
02:32:58 PM     0      1267    0.00    0.00    0.00    0.00     2  gssproxy
02:32:58 PM     0      1298    0.01    0.00    0.00    0.01     1  sssd_be
02:32:58 PM     0      1311    0.00    0.00    0.00    0.00     2  ksmtuned
02:32:58 PM     0      1313    0.00    0.00    0.00    0.01     3  sssd_nss
02:32:58 PM     0      1314    0.00    0.00    0.00    0.00     1  sssd_pam
02:32:58 PM     0      1316    0.00    0.00    0.00    0.00     2  accounts-daemon
02:32:58 PM     0      1317    0.00    0.00    0.00    0.00     0  systemd-logind
02:32:58 PM     0      1335    0.01    0.00    0.00    0.01     2  wpa_supplicant
02:32:58 PM     0      1874    0.00    0.00    0.00    0.00     3  tuned
02:32:58 PM     0      1880    0.00    0.00    0.00    0.00     3  sshd
02:32:58 PM     0      1884    0.00    0.00    0.00    0.00     0  cupsd
02:32:58 PM     0      1886    0.00    0.00    0.00    0.00     1  cups-browsed
02:32:58 PM     0      1900    0.01    0.01    0.00    0.02     2  libvirtd
02:32:58 PM     0      1913    0.00    0.00    0.00    0.00     0  atd
02:32:58 PM     0      1915    0.00    0.00    0.00    0.00     1  crond
02:32:58 PM     0      1916    0.00    0.00    0.00    0.00     1  gdm
02:32:58 PM   998      1922    0.00    0.00    0.00    0.00     3  colord
02:32:58 PM     0      1931    0.01    0.04    0.00    0.05     2  teamviewerd
02:32:58 PM     0      1976    0.00    0.00    0.00    0.00     1  rhnsd
02:32:58 PM 113248      1985    0.01    0.00    0.00    0.01     2  chrome
02:32:58 PM 113248      2052    0.02    0.00    0.00    0.02     1  chrome
02:32:58 PM 113248      2099    0.02    0.00    0.00    0.02     1  chrome
02:32:58 PM 113248      2119    0.09    0.02    0.00    0.10     2  chrome
02:32:58 PM     0      2213    0.00    0.00    0.00    0.00     3  master
02:32:58 PM    89      2222    0.00    0.00    0.00    0.00     1  qmgr
02:32:58 PM     0      2423    0.24    0.22    0.00    0.46     2  X
02:32:58 PM    99      2467    0.00    0.00    0.00    0.00     1  dnsmasq
02:32:58 PM     0      2651    0.00    0.00    0.00    0.00     0  upowerd
02:32:58 PM 113248      2713    0.01    0.00    0.00    0.01     1  chrome
02:32:58 PM 113248      2765    0.01    0.00    0.00    0.01     1  chrome
02:32:58 PM     0      3101    0.00    0.00    0.00    0.00     3  gdm-session-wor
02:32:58 PM 113248      3130    0.00    0.00    0.00    0.00     2  gnome-keyring-d
02:32:58 PM 113248      3142    0.00    0.00    0.00    0.00     1  gnome-session-b
02:32:58 PM 113248      3152    0.00    0.00    0.00    0.00     3  dbus-daemon
02:32:58 PM 113248      3225    0.00    0.00    0.00    0.00     0  gvfsd
